R,I,A,S,E,C,carrera_id,nombre_carrera
5.66,3.5,7.77,3.75,6.09,3.46,37,Lic. en Arquitectura
5.94,3.72,7.27,2.02,5.83,3.28,37,Lic. en Arquitectura
5.74,2.13,7.43,3.01,5.64,2.84,37,Lic. en Arquitectura
6.92,2.56,7.83,3.18,5.63,1.66,37,Lic. en Arquitectura
6.22,3.06,6.58,3.51,6.07,2.63,37,Lic. en Arquitectura
5.64,3.02,6.93,3.47,4.93,3.57,37,Lic. en Arquitectura
6.08,3.1,6.97,2.45,5.44,2.6,37,Lic. en Arquitectura
5.69,3.42,7.27,3.03,5.65,3.97,37,Lic. en Arquitectura
7.0,3.76,6.86,2.76,5.65,3.25,37,Lic. en Arquitectura
6.67,1.66,7.89,3.07,5.24,3.27,37,Lic. en Arquitectura
6.42,3.06,7.1,2.18,5.4,1.55,37,Lic. en Arquitectura
6.25,2.82,7.35,1.77,5.71,1.94,37,Lic. en Arquitectura
6.43,2.13,7.56,3.51,4.84,2.53,37,Lic. en Arquitectura
6.72,2.77,6.58,3.22,4.8,1.99,37,Lic. en Arquitectura
6.95,2.15,7.65,2.41,6.02,3.83,37,Lic. en Arquitectura
6.23,3.45,6.49,2.33,5.85,3.98,37,Lic. en Arquitectura
5.61,2.63,6.53,1.61,5.03,3.93,37,Lic. en Arquitectura
5.7,3.81,7.01,2.22,5.8,2.62,37,Lic. en Arquitectura
6.81,3.09,6.7,1.91,6.07,1.64,37,Lic. en Arquitectura
6.07,2.02,7.61,2.77,5.75,2.24,37,Lic. en Arquitectura
5.94,2.75,6.77,2.84,5.28,2.8,37,Lic. en Arquitectura
6.65,1.54,6.88,3.73,5.34,2.28,37,Lic. en Arquitectura
6.46,1.81,6.91,1.96,4.91,3.52,37,Lic. en Arquitectura
5.87,2.55,6.64,3.93,6.16,1.95,37,Lic. en Arquitectura
5.91,2.13,7.19,2.67,6.22,3.98,37,Lic. en Arquitectura
6.75,3.55,7.32,3.99,5.59,2.84,37,Lic. en Arquitectura
5.78,1.67,6.6,2.9,5.82,3.13,37,Lic. en Arquitectura
5.94,2.52,7.25,2.57,4.83,3.15,37,Lic. en Arquitectura
6.92,2.72,6.84,3.68,5.28,3.23,37,Lic. en Arquitectura
6.51,3.78,6.57,3.98,6.26,2.38,37,Lic. en Arquitectura
6.4,3.2,7.8,3.08,5.19,2.25,37,Lic. en Arquitectura
6.97,2.66,7.21,3.59,5.73,2.53,37,Lic. en Arquitectura
5.81,2.35,7.11,3.84,5.81,1.79,37,Lic. en Arquitectura
5.95,2.81,6.49,3.82,6.09,1.81,37,Lic. en Arquitectura
5.96,2.42,7.34,3.37,5.48,3.67,37,Lic. en Arquitectura
5.86,2.83,6.5,2.45,6.08,3.14,37,Lic. en Arquitectura
7.07,2.14,7.81,3.71,5.82,2.18,37,Lic. en Arquitectura
6.32,2.63,6.95,3.52,5.76,1.69,37,Lic. en Arquitectura
6.86,3.71,7.78,1.87,4.81,2.91,37,Lic. en Arquitectura
6.91,1.59,6.93,3.53,5.18,2.61,37,Lic. en Arquitectura
5.73,3.91,7.18,3.82,6.25,3.93,37,Lic. en Arquitectura
6.37,3.06,6.55,1.95,6.09,3.15,37,Lic. en Arquitectura
5.79,3.1,7.55,2.39,4.97,3.99,37,Lic. en Arquitectura
7.05,2.39,7.84,2.9,6.14,2.24,37,Lic. en Arquitectura
5.92,2.27,6.99,2.91,4.86,2.97,37,Lic. en Arquitectura
6.25,2.68,7.82,2.85,6.25,1.9,37,Lic. en Arquitectura
6.2,2.45,6.83,3.8,5.97,3.53,37,Lic. en Arquitectura
5.65,3.24,6.49,1.82,5.85,1.96,37,Lic. en Arquitectura
6.68,2.65,7.21,3.59,6.22,2.71,37,Lic. en Arquitectura
6.78,3.47,7.37,2.39,5.1,3.29,37,Lic. en Arquitectura
6.4,2.71,7.11,2.6,5.49,1.74,37,Lic. en Arquitectura
6.86,3.05,7.82,3.59,6.05,3.95,37,Lic. en Arquitectura
7.09,3.25,6.84,3.96,6.09,3.86,37,Lic. en Arquitectura
5.68,2.16,7.09,2.93,5.26,2.97,37,Lic. en Arquitectura
6.05,2.58,6.72,1.57,5.8,1.73,37,Lic. en Arquitectura
6.34,2.98,7.14,3.73,5.95,1.72,37,Lic. en Arquitectura
6.16,2.48,7.35,3.66,5.41,2.86,37,Lic. en Arquitectura
6.75,2.34,7.1,3.18,5.08,1.72,37,Lic. en Arquitectura
6.51,1.76,7.67,3.46,6.09,2.68,37,Lic. en Arquitectura
6.52,2.39,7.31,2.51,5.35,1.71,37,Lic. en Arquitectura
6.99,2.93,7.05,3.68,5.7,2.3,37,Lic. en Arquitectura
6.61,2.3,6.92,2.56,4.84,1.72,37,Lic. en Arquitectura
7.0,2.12,7.9,2.09,5.7,3.03,37,Lic. en Arquitectura
6.59,3.05,6.76,3.32,5.5,2.58,37,Lic. en Arquitectura
6.43,2.39,7.26,2.71,6.16,2.62,37,Lic. en Arquitectura
6.85,3.99,6.76,2.74,5.6,2.63,37,Lic. en Arquitectura
6.1,2.4,6.71,3.13,6.22,2.74,37,Lic. en Arquitectura
6.9,3.26,6.96,2.5,5.68,1.78,37,Lic. en Arquitectura
5.79,2.91,6.79,1.58,5.58,2.7,37,Lic. en Arquitectura
6.47,2.0,6.68,2.11,5.96,2.68,37,Lic. en Arquitectura
7.1,3.23,7.45,3.02,6.11,3.93,37,Lic. en Arquitectura
2.87,3.35,7.09,5.05,7.07,1.54,38,Lic. en Diseño de Interiores y Ambientación
2.32,2.72,7.15,5.56,6.57,1.56,38,Lic. en Diseño de Interiores y Ambientación
3.64,3.95,6.96,5.92,6.73,2.35,38,Lic. en Diseño de Interiores y Ambientación
2.85,3.96,6.71,5.12,7.08,3.21,38,Lic. en Diseño de Interiores y Ambientación
2.86,3.57,7.54,5.93,6.66,2.82,38,Lic. en Diseño de Interiores y Ambientación
2.79,2.99,7.32,4.9,6.58,2.67,38,Lic. en Diseño de Interiores y Ambientación
3.0,2.77,7.46,5.18,5.77,3.83,38,Lic. en Diseño de Interiores y Ambientación
1.55,2.25,7.42,5.07,6.35,3.92,38,Lic. en Diseño de Interiores y Ambientación
2.32,1.59,7.08,5.36,6.55,2.11,38,Lic. en Diseño de Interiores y Ambientación
2.59,3.67,7.32,5.02,7.01,2.68,38,Lic. en Diseño de Interiores y Ambientación
2.71,1.6,7.82,6.19,6.98,3.01,38,Lic. en Diseño de Interiores y Ambientación
3.24,2.3,6.89,5.73,5.83,2.19,38,Lic. en Diseño de Interiores y Ambientación
2.52,2.39,7.61,5.71,5.7,2.3,38,Lic. en Diseño de Interiores y Ambientación
3.49,2.18,7.49,4.99,6.8,2.32,38,Lic. en Diseño de Interiores y Ambientación
3.04,2.69,7.12,5.87,6.0,1.61,38,Lic. en Diseño de Interiores y Ambientación
2.17,3.51,6.64,4.84,5.68,3.04,38,Lic. en Diseño de Interiores y Ambientación
3.15,2.28,6.94,5.99,7.08,3.72,38,Lic. en Diseño de Interiores y Ambientación
2.08,1.6,6.89,5.36,5.98,1.86,38,Lic. en Diseño de Interiores y Ambientación
2.45,4.0,7.1,5.97,5.75,3.0,38,Lic. en Diseño de Interiores y Ambientación
2.97,3.19,6.66,5.47,6.7,2.86,38,Lic. en Diseño de Interiores y Ambientación
3.34,2.94,6.91,5.45,6.3,2.57,38,Lic. en Diseño de Interiores y Ambientación
2.29,2.36,7.44,4.91,6.19,2.78,38,Lic. en Diseño de Interiores y Ambientación
3.2,3.43,6.7,6.16,6.82,1.82,38,Lic. en Diseño de Interiores y Ambientación
2.42,2.13,6.95,5.96,6.83,3.26,38,Lic. en Diseño de Interiores y Ambientación
3.59,3.13,7.21,5.89,6.77,3.83,38,Lic. en Diseño de Interiores y Ambientación
2.24,1.52,7.14,6.08,6.29,2.16,38,Lic. en Diseño de Interiores y Ambientación
3.67,1.9,6.91,6.16,5.81,3.65,38,Lic. en Diseño de Interiores y Ambientación
3.72,2.26,6.54,5.11,5.63,2.63,38,Lic. en Diseño de Interiores y Ambientación
2.32,2.25,7.63,5.96,6.08,1.67,38,Lic. en Diseño de Interiores y Ambientación
2.07,3.7,7.76,5.93,6.79,2.3,38,Lic. en Diseño de Interiores y Ambientación
2.97,3.48,7.3,5.66,6.83,3.03,38,Lic. en Diseño de Interiores y Ambientación
2.69,2.28,7.01,5.84,5.63,3.08,38,Lic. en Diseño de Interiores y Ambientación
2.62,3.77,6.47,6.11,6.71,2.66,38,Lic. en Diseño de Interiores y Ambientación
3.02,2.05,6.4,5.34,5.77,1.77,38,Lic. en Diseño de Interiores y Ambientación
3.77,2.78,6.69,6.24,6.5,2.72,38,Lic. en Diseño de Interiores y Ambientación
3.69,1.55,7.34,5.45,6.32,1.58,38,Lic. en Diseño de Interiores y Ambientación
1.77,1.66,7.54,5.31,6.66,2.86,38,Lic. en Diseño de Interiores y Ambientación
2.32,2.86,7.48,5.35,5.87,3.03,38,Lic. en Diseño de Interiores y Ambientación
2.62,3.23,7.49,5.67,6.44,3.84,38,Lic. en Diseño de Interiores y Ambientación
1.64,3.6,6.47,5.16,5.62,1.85,38,Lic. en Diseño de Interiores y Ambientación
1.7,1.78,6.43,6.21,5.97,2.44,38,Lic. en Diseño de Interiores y Ambientación
2.78,2.42,6.53,5.41,5.88,3.77,38,Lic. en Diseño de Interiores y Ambientación
3.14,3.28,6.57,6.19,6.15,2.73,38,Lic. en Diseño de Interiores y Ambientación
2.81,3.59,7.34,5.7,6.38,2.95,38,Lic. en Diseño de Interiores y Ambientación
3.34,3.87,7.77,5.79,7.05,2.83,38,Lic. en Diseño de Interiores y Ambientación
2.68,2.78,6.92,5.27,7.02,1.58,38,Lic. en Diseño de Interiores y Ambientación
2.05,1.91,7.68,4.82,6.19,2.59,38,Lic. en Diseño de Interiores y Ambientación
2.86,4.0,7.06,6.15,6.25,3.67,38,Lic. en Diseño de Interiores y Ambientación
2.16,2.1,6.99,6.26,6.34,2.93,38,Lic. en Diseño de Interiores y Ambientación
2.57,2.85,6.74,4.9,6.96,3.53,38,Lic. en Diseño de Interiores y Ambientación
3.98,3.66,7.18,6.25,6.58,1.94,38,Lic. en Diseño de Interiores y Ambientación
2.29,2.5,6.5,5.69,6.4,3.32,38,Lic. en Diseño de Interiores y Ambientación
3.44,3.33,7.67,5.34,5.93,2.68,38,Lic. en Diseño de Interiores y Ambientación
1.98,2.02,7.21,5.45,5.68,2.82,38,Lic. en Diseño de Interiores y Ambientación
1.96,1.82,6.54,4.89,6.25,1.7,38,Lic. en Diseño de Interiores y Ambientación
2.69,3.88,7.67,5.86,6.67,2.3,38,Lic. en Diseño de Interiores y Ambientación
1.62,1.81,6.78,5.47,6.14,3.11,38,Lic. en Diseño de Interiores y Ambientación
3.49,1.93,7.29,4.92,5.74,2.4,38,Lic. en Diseño de Interiores y Ambientación
3.79,2.28,6.9,5.32,5.88,2.16,38,Lic. en Diseño de Interiores y Ambientación
3.55,3.47,7.65,5.7,6.05,1.91,38,Lic. en Diseño de Interiores y Ambientación
3.77,1.65,7.74,5.14,6.02,3.28,38,Lic. en Diseño de Interiores y Ambientación
1.62,2.34,7.2,6.17,6.6,1.61,38,Lic. en Diseño de Interiores y Ambientación
1.66,3.9,6.42,5.71,5.68,2.53,38,Lic. en Diseño de Interiores y Ambientación
2.86,2.73,7.61,5.54,6.46,3.61,38,Lic. en Diseño de Interiores y Ambientación
3.49,2.97,7.65,5.37,6.19,3.74,38,Lic. en Diseño de Interiores y Ambientación
3.04,2.09,6.88,5.61,6.97,1.57,38,Lic. en Diseño de Interiores y Ambientación
3.51,3.58,6.82,5.12,6.3,2.28,38,Lic. en Diseño de Interiores y Ambientación
2.84,2.28,7.64,6.25,5.9,3.12,38,Lic. en Diseño de Interiores y Ambientación
3.36,3.08,6.59,5.33,5.68,3.03,38,Lic. en Diseño de Interiores y Ambientación
2.4,3.39,7.53,5.29,6.75,3.9,38,Lic. en Diseño de Interiores y Ambientación
2.55,2.48,6.49,6.21,6.98,3.06,38,Lic. en Diseño de Interiores y Ambientación
3.14,2.25,7.42,5.27,6.1,2.35,38,Lic. en Diseño de Interiores y Ambientación
2.06,2.37,7.47,6.05,5.93,3.41,38,Lic. en Diseño de Interiores y Ambientación
2.56,2.26,7.88,5.09,5.95,2.25,38,Lic. en Diseño de Interiores y Ambientación
1.71,2.91,6.99,5.77,6.6,2.18,38,Lic. en Diseño de Interiores y Ambientación
3.65,3.19,7.76,5.67,6.03,3.6,38,Lic. en Diseño de Interiores y Ambientación
3.06,2.04,6.77,5.71,6.45,2.58,38,Lic. en Diseño de Interiores y Ambientación
1.86,1.69,7.74,5.34,6.21,1.66,38,Lic. en Diseño de Interiores y Ambientación
3.92,3.52,7.49,4.99,5.71,2.58,38,Lic. en Diseño de Interiores y Ambientación
3.41,2.79,6.42,5.88,6.0,3.16,38,Lic. en Diseño de Interiores y Ambientación
2.93,2.25,6.72,5.96,6.24,2.21,38,Lic. en Diseño de Interiores y Ambientación
3.07,4.0,7.81,6.09,6.59,1.51,38,Lic. en Diseño de Interiores y Ambientación
2.02,2.0,7.67,6.27,6.2,2.85,38,Lic. en Diseño de Interiores y Ambientación
3.41,2.1,7.52,5.25,6.41,3.08,38,Lic. en Diseño de Interiores y Ambientación
2.12,3.88,6.85,5.91,6.6,1.84,38,Lic. en Diseño de Interiores y Ambientación
2.36,2.0,7.78,5.13,5.85,2.2,38,Lic. en Diseño de Interiores y Ambientación
3.22,2.38,6.53,5.78,6.06,2.23,38,Lic. en Diseño de Interiores y Ambientación
3.67,2.4,7.55,5.05,6.43,3.27,38,Lic. en Diseño de Interiores y Ambientación
3.44,2.67,6.68,6.23,5.71,3.98,38,Lic. en Diseño de Interiores y Ambientación
1.66,2.29,6.99,4.84,6.57,3.85,38,Lic. en Diseño de Interiores y Ambientación
3.36,2.07,7.0,5.64,6.02,2.57,38,Lic. en Diseño de Interiores y Ambientación
2.39,3.61,6.44,5.36,6.29,2.8,38,Lic. en Diseño de Interiores y Ambientación
2.92,2.59,6.47,5.78,5.83,3.34,38,Lic. en Diseño de Interiores y Ambientación
2.12,3.98,7.15,5.69,6.08,3.77,38,Lic. en Diseño de Interiores y Ambientación
2.9,1.65,7.55,5.51,6.68,3.18,38,Lic. en Diseño de Interiores y Ambientación
3.23,2.29,6.7,5.97,6.26,1.51,38,Lic. en Diseño de Interiores y Ambientación
2.85,3.96,7.03,5.83,6.82,3.18,38,Lic. en Diseño de Interiores y Ambientación
2.27,3.84,6.82,5.22,6.82,2.0,38,Lic. en Diseño de Interiores y Ambientación
2.4,3.47,6.44,5.82,6.16,3.59,38,Lic. en Diseño de Interiores y Ambientación
3.0,1.58,7.42,4.84,6.83,2.21,38,Lic. en Diseño de Interiores y Ambientación
3.79,1.82,6.49,3.9,6.86,4.8,39,Lic. en Diseño Gráfico Empresarial
3.04,3.32,7.02,2.48,5.93,4.85,39,Lic. en Diseño Gráfico Empresarial
2.34,2.16,7.34,3.11,7.02,5.78,39,Lic. en Diseño Gráfico Empresarial
2.72,2.99,6.47,2.43,5.9,5.87,39,Lic. en Diseño Gráfico Empresarial
1.64,2.21,7.07,1.64,7.09,4.81,39,Lic. en Diseño Gráfico Empresarial
2.87,2.55,7.27,2.83,6.18,5.65,39,Lic. en Diseño Gráfico Empresarial
3.57,3.46,6.6,2.35,6.76,4.9,39,Lic. en Diseño Gráfico Empresarial
1.55,3.11,6.73,2.02,6.1,5.37,39,Lic. en Diseño Gráfico Empresarial
2.72,2.68,7.67,2.27,6.73,5.14,39,Lic. en Diseño Gráfico Empresarial
1.74,2.54,6.8,2.52,6.38,6.05,39,Lic. en Diseño Gráfico Empresarial
3.17,3.44,7.83,2.18,6.61,5.1,39,Lic. en Diseño Gráfico Empresarial
2.16,3.12,7.68,3.3,7.07,6.23,39,Lic. en Diseño Gráfico Empresarial
2.21,2.01,6.88,3.52,5.78,6.21,39,Lic. en Diseño Gráfico Empresarial
2.4,3.08,6.56,3.97,7.03,5.0,39,Lic. en Diseño Gráfico Empresarial
1.51,2.21,7.06,3.61,6.61,4.94,39,Lic. en Diseño Gráfico Empresarial
2.87,2.33,7.32,1.69,6.82,5.8,39,Lic. en Diseño Gráfico Empresarial
2.08,1.68,7.0,1.75,6.29,5.24,39,Lic. en Diseño Gráfico Empresarial
2.8,2.25,7.16,1.91,7.09,4.98,39,Lic. en Diseño Gráfico Empresarial
3.95,1.67,6.7,2.18,5.7,5.53,39,Lic. en Diseño Gráfico Empresarial
2.21,3.95,7.23,2.48,7.01,5.32,39,Lic. en Diseño Gráfico Empresarial
2.62,3.38,6.53,1.86,6.15,5.6,39,Lic. en Diseño Gráfico Empresarial
2.5,3.01,7.03,2.15,6.51,6.25,39,Lic. en Diseño Gráfico Empresarial
2.79,3.39,6.75,3.62,6.09,6.07,39,Lic. en Diseño Gráfico Empresarial
3.73,2.75,7.31,3.96,6.02,5.33,39,Lic. en Diseño Gráfico Empresarial
1.55,2.13,7.5,2.56,6.16,6.22,39,Lic. en Diseño Gráfico Empresarial
2.85,2.01,6.68,1.79,5.84,6.27,39,Lic. en Diseño Gráfico Empresarial
2.16,3.47,7.86,3.24,6.88,5.07,39,Lic. en Diseño Gráfico Empresarial
3.59,2.21,7.01,1.88,5.89,5.82,39,Lic. en Diseño Gráfico Empresarial
2.14,2.95,6.75,1.96,6.65,5.42,39,Lic. en Diseño Gráfico Empresarial
2.43,2.19,6.42,2.18,6.95,5.96,39,Lic. en Diseño Gráfico Empresarial
3.16,1.84,7.71,1.88,5.92,6.04,39,Lic. en Diseño Gráfico Empresarial
1.54,3.06,6.55,1.54,6.02,4.82,39,Lic. en Diseño Gráfico Empresarial
3.56,2.16,7.44,1.79,6.68,5.21,39,Lic. en Diseño Gráfico Empresarial
3.25,3.23,6.73,2.61,6.26,6.05,39,Lic. en Diseño Gráfico Empresarial
3.86,3.2,7.76,3.81,7.02,5.47,39,Lic. en Diseño Gráfico Empresarial
3.63,2.41,7.43,3.97,5.93,5.61,39,Lic. en Diseño Gráfico Empresarial
3.31,2.88,7.0,2.79,5.99,5.42,39,Lic. en Diseño Gráfico Empresarial
3.38,2.53,7.57,3.16,7.02,6.19,39,Lic. en Diseño Gráfico Empresarial
2.22,2.85,7.23,3.98,6.08,5.88,39,Lic. en Diseño Gráfico Empresarial
3.81,3.42,7.68,1.62,6.65,5.83,39,Lic. en Diseño Gráfico Empresarial
2.92,2.86,6.8,1.86,6.78,4.88,39,Lic. en Diseño Gráfico Empresarial
2.74,2.25,6.67,3.28,6.88,5.61,39,Lic. en Diseño Gráfico Empresarial
1.93,2.23,6.61,2.3,6.02,5.97,39,Lic. en Diseño Gráfico Empresarial
2.22,2.01,6.49,2.04,6.8,5.71,39,Lic. en Diseño Gráfico Empresarial
2.81,1.9,7.49,3.56,6.14,6.25,39,Lic. en Diseño Gráfico Empresarial
1.58,2.73,7.53,2.69,6.22,5.84,39,Lic. en Diseño Gráfico Empresarial
1.69,2.54,6.77,2.15,6.89,6.05,39,Lic. en Diseño Gráfico Empresarial
1.95,3.77,6.95,2.21,5.93,6.08,39,Lic. en Diseño Gráfico Empresarial
3.03,3.75,7.16,2.06,5.61,5.31,39,Lic. en Diseño Gráfico Empresarial
3.68,2.59,7.61,3.24,6.88,5.6,39,Lic. en Diseño Gráfico Empresarial
1.68,2.39,6.69,2.17,6.3,6.04,39,Lic. en Diseño Gráfico Empresarial
3.78,2.58,6.61,3.87,6.36,5.85,39,Lic. en Diseño Gráfico Empresarial
2.78,1.74,7.87,2.78,6.21,6.09,39,Lic. en Diseño Gráfico Empresarial
2.73,3.96,7.01,3.39,6.93,5.55,39,Lic. en Diseño Gráfico Empresarial
1.52,3.13,6.51,3.84,6.95,6.24,39,Lic. en Diseño Gráfico Empresarial
1.57,2.44,7.69,2.51,7.04,4.93,39,Lic. en Diseño Gráfico Empresarial
1.69,2.0,7.56,3.84,6.37,4.87,39,Lic. en Diseño Gráfico Empresarial
2.97,2.98,6.81,2.7,5.81,6.08,39,Lic. en Diseño Gráfico Empresarial
2.51,3.46,7.41,2.39,6.48,5.81,39,Lic. en Diseño Gráfico Empresarial
3.75,2.73,6.95,1.7,6.69,5.42,39,Lic. en Diseño Gráfico Empresarial
3.87,2.09,7.79,2.71,6.07,6.13,39,Lic. en Diseño Gráfico Empresarial
3.93,2.45,6.89,2.26,6.78,5.82,39,Lic. en Diseño Gráfico Empresarial
3.0,3.37,7.57,2.48,6.72,5.88,39,Lic. en Diseño Gráfico Empresarial
1.78,2.91,7.7,2.51,5.64,4.83,39,Lic. en Diseño Gráfico Empresarial
3.35,1.97,6.46,3.53,6.53,4.83,39,Lic. en Diseño Gráfico Empresarial
3.64,1.97,6.7,2.77,7.07,5.5,39,Lic. en Diseño Gráfico Empresarial
1.91,3.37,7.01,3.16,6.52,5.84,39,Lic. en Diseño Gráfico Empresarial
3.49,3.52,7.79,3.2,7.04,5.45,39,Lic. en Diseño Gráfico Empresarial
2.35,2.1,7.35,2.22,6.56,5.16,39,Lic. en Diseño Gráfico Empresarial
3.65,3.94,7.29,2.98,7.02,4.92,39,Lic. en Diseño Gráfico Empresarial
2.15,2.6,7.15,2.45,6.73,5.89,39,Lic. en Diseño Gráfico Empresarial
2.59,1.8,7.11,3.95,5.97,6.15,39,Lic. en Diseño Gráfico Empresarial
2.82,2.32,7.51,2.94,5.97,6.02,39,Lic. en Diseño Gráfico Empresarial
2.59,1.57,6.96,1.54,6.33,5.17,39,Lic. en Diseño Gráfico Empresarial
3.45,3.68,7.22,3.6,6.89,6.04,39,Lic. en Diseño Gráfico Empresarial
3.62,2.14,6.95,3.21,5.66,6.29,39,Lic. en Diseño Gráfico Empresarial
1.69,2.38,6.79,1.56,5.84,5.68,39,Lic. en Diseño Gráfico Empresarial
3.59,1.73,7.24,1.57,6.19,5.72,39,Lic. en Diseño Gráfico Empresarial
2.29,1.58,6.93,3.1,6.0,5.8,39,Lic. en Diseño Gráfico Empresarial
2.57,3.02,6.84,1.63,6.2,5.16,39,Lic. en Diseño Gráfico Empresarial
1.54,3.15,6.82,2.23,6.15,6.19,39,Lic. en Diseño Gráfico Empresarial
2.39,2.27,6.5,3.57,6.14,5.01,39,Lic. en Diseño Gráfico Empresarial
2.64,3.46,6.9,1.52,5.83,4.84,39,Lic. en Diseño Gráfico Empresarial
3.28,3.44,7.64,2.02,6.67,5.03,39,Lic. en Diseño Gráfico Empresarial
1.77,1.84,7.89,3.69,6.53,5.65,39,Lic. en Diseño Gráfico Empresarial
3.24,3.55,6.47,3.58,6.46,4.92,39,Lic. en Diseño Gráfico Empresarial
3.24,3.71,6.8,3.16,6.44,5.33,39,Lic. en Diseño Gráfico Empresarial
2.87,1.71,6.51,1.57,6.35,5.78,39,Lic. en Diseño Gráfico Empresarial
1.61,2.7,7.19,1.6,6.94,5.18,39,Lic. en Diseño Gráfico Empresarial
1.98,2.1,6.71,1.8,5.6,5.99,39,Lic. en Diseño Gráfico Empresarial
3.79,1.94,7.58,3.41,6.25,4.86,39,Lic. en Diseño Gráfico Empresarial
3.69,3.36,6.62,3.54,5.85,6.07,39,Lic. en Diseño Gráfico Empresarial
1.73,3.94,6.57,2.89,6.21,6.29,39,Lic. en Diseño Gráfico Empresarial
3.01,1.86,7.61,2.52,6.04,5.67,39,Lic. en Diseño Gráfico Empresarial
1.97,1.52,6.54,2.31,6.98,4.84,39,Lic. en Diseño Gráfico Empresarial
3.09,2.57,7.58,3.91,5.92,6.07,39,Lic. en Diseño Gráfico Empresarial
3.7,3.31,6.79,2.4,6.91,5.5,39,Lic. en Diseño Gráfico Empresarial
3.7,2.98,7.44,2.42,5.63,6.24,39,Lic. en Diseño Gráfico Empresarial
3.51,2.84,7.49,1.59,6.67,5.84,39,Lic. en Diseño Gráfico Empresarial
2.4,1.68,7.4,2.5,6.57,4.86,39,Lic. en Diseño Gráfico Empresarial
6.93,4.9,7.47,3.02,2.74,2.74,40,Lic. en Diseño Industrial
6.01,5.61,7.69,2.53,1.93,1.97,40,Lic. en Diseño Industrial
5.72,5.69,7.77,2.05,2.28,3.85,40,Lic. en Diseño Industrial
5.6,5.06,7.69,3.91,2.49,3.57,40,Lic. en Diseño Industrial
6.4,6.15,7.19,1.6,2.07,3.12,40,Lic. en Diseño Industrial
6.92,6.0,6.89,3.89,1.77,2.28,40,Lic. en Diseño Industrial
5.88,5.09,6.65,3.9,2.46,3.75,40,Lic. en Diseño Industrial
6.8,5.27,7.51,3.43,2.48,2.97,40,Lic. en Diseño Industrial
6.82,5.84,7.6,2.82,2.68,1.8,40,Lic. en Diseño Industrial
5.82,5.61,6.45,2.41,3.68,1.77,40,Lic. en Diseño Industrial
6.21,4.88,7.35,3.27,2.72,3.3,40,Lic. en Diseño Industrial
6.89,5.59,7.41,1.71,2.69,2.99,40,Lic. en Diseño Industrial
6.68,5.73,7.05,3.63,3.49,1.63,40,Lic. en Diseño Industrial
5.73,5.93,7.17,3.08,2.53,2.45,40,Lic. en Diseño Industrial
6.76,5.0,6.86,2.7,2.87,3.86,40,Lic. en Diseño Industrial
5.87,6.0,7.15,3.19,1.61,2.89,40,Lic. en Diseño Industrial
6.13,5.31,7.11,3.01,2.98,1.85,40,Lic. en Diseño Industrial
6.78,4.97,7.7,1.51,3.34,3.65,40,Lic. en Diseño Industrial
6.03,5.77,7.81,1.84,2.97,2.53,40,Lic. en Diseño Industrial
6.87,6.18,6.71,3.98,2.53,2.18,40,Lic. en Diseño Industrial
6.46,5.9,7.81,1.85,3.75,3.83,40,Lic. en Diseño Industrial
